"Country","Year","TotalDonorReported","TotalCountryReported"
"Angola",2020,27833606,24671884
"Angola",2021,22659853,35518614
"Angola",2022,18711329,93737024
"Botswana",2020,163534,2438179
"Botswana",2021,347610,1821010
"Botswana",2022,4288,3550140
"Eswatini",2020,670991,1727739
"Eswatini",2021,1260814,2335377
"Eswatini",2022,1228475,1985776
"Malawi",2020,71386890,186695976
"Malawi",2021,91002760,40582922
"Malawi",2022,67457528,32235406
"Mozambique",2020,131195339,131840961
"Mozambique",2021,57258710,49711324
"Mozambique",2022,116355084,148848876
"Namibia",2020,1600216,12808994
"Namibia",2021,-3350,13310042
"Namibia",2022,0,13766129
"South Africa",2020,200767,22703653
"South Africa",2021,215968,28665748
"South Africa",2022,38354,24693228
"Zambia",2020,80104038,97313161
"Zambia",2021,70748749,78255197
"Zambia",2022,48531899,80784526
"Zimbabwe",2020,52501699,26782566
"Zimbabwe",2021,65136098,55507085
"Zimbabwe",2022,51225930,34724025
